,C1_Synch,C1_Reic,C2_Synch,C2_Reic
LS401,2023-02-16 08:33:21.924000+00:00,2023-02-16 08:45:25.856000+00:00,2023-02-16 10:16:26.057000+00:00,2023-02-16 10:27:14.287000+00:00
LS405,,2023-02-16 08:45:25.956000+00:00,2023-02-16 10:16:26.227000+00:00,2023-02-16 10:27:14.497000+00:00
LS406,2023-02-16 08:33:21.944000+00:00,2023-02-16 08:45:25.806000+00:00,2023-02-16 10:16:26.087000+00:00,2023-02-16 10:27:14.217000+00:00
LS407,2023-02-16 08:33:21.964000+00:00,2023-02-16 08:45:25.896000+00:00,2023-02-16 10:16:26.187000+00:00,2023-02-16 10:27:14.367000+00:00
LS408,2023-02-16 08:33:22.044000+00:00,2023-02-16 08:45:25.916000+00:00,2023-02-16 10:16:26.227000+00:00,2023-02-16 10:27:14.457000+00:00
VN101,,2023-02-16 08:45:25.886000+00:00,2023-02-16 10:16:26.137000+00:00,2023-02-16 10:27:14.317000+00:00
VN102,2023-02-16 08:33:22.044000+00:00,2023-02-16 08:45:25.916000+00:00,2023-02-16 10:16:26.237000+00:00,2023-02-16 10:27:14.457000+00:00
VN103,2023-02-16 08:33:21.944000+00:00,2023-02-16 08:45:25.896000+00:00,2023-02-16 10:16:26.047000+00:00,2023-02-16 10:27:14.317000+00:00
VN104,2023-02-16 08:33:22.084000+00:00,2023-02-16 08:45:25.946000+00:00,2023-02-16 10:16:26.187000+00:00,2023-02-16 10:27:14.427000+00:00
VN105,2023-02-16 08:33:22.004000+00:00,2023-02-16 08:45:25.906000+00:00,2023-02-16 10:16:26.137000+00:00,2023-02-16 10:27:14.377000+00:00
VN106,2023-02-16 08:33:21.934000+00:00,2023-02-16 08:45:25.836000+00:00,2023-02-16 10:16:26.027000+00:00,2023-02-16 10:27:14.237000+00:00
VN107,2023-02-16 08:33:22.064000+00:00,2023-02-16 08:45:25.886000+00:00,,2023-02-16 10:27:14.327000+00:00
VN108,2023-02-16 08:33:22.024000+00:00,2023-02-16 08:45:25.846000+00:00,2023-02-16 10:16:26.117000+00:00,2023-02-16 10:27:14.257000+00:00
