,C3_Synch,C3_Reic,C4_Synch,C4_Reic
VN102,2023-02-17 08:30:50.421000+00:00,2023-02-17 08:40:29.557000+00:00,2023-02-17 10:16:24.668000+00:00,2023-02-17 10:27:18.499000+00:00
VN107,2023-02-17 08:30:52.331000+00:00,2023-02-17 08:40:31.437000+00:00,2023-02-17 10:16:26.918000+00:00,2023-02-17 10:27:20.679000+00:00
VN108,2023-02-17 08:30:51.421000+00:00,2023-02-17 08:40:30.597000+00:00,2023-02-17 10:16:26.038000+00:00,2023-02-17 10:27:19.809000+00:00
VN101,2023-02-17 08:30:51.431000+00:00,2023-02-17 08:40:30.587000+00:00,2023-02-17 10:16:25.698000+00:00,2023-02-17 10:27:19.449000+00:00
VN105,2023-02-17 08:30:52.041000+00:00,2023-02-17 08:40:31.167000+00:00,2023-02-17 10:16:26.318000+00:00,2023-02-17 10:27:20.169000+00:00
VN103,2023-02-17 08:30:51.971000+00:00,2023-02-17 08:40:31.057000+00:00,2023-02-17 10:16:26.308000+00:00,2023-02-17 10:27:20.079000+00:00
VN104,2023-02-17 08:30:52.931000+00:00,2023-02-17 08:40:32.077000+00:00,2023-02-17 10:16:27.238000+00:00,2023-02-17 10:27:21.039000+00:00
VN205,2023-02-17 08:30:53.001000+00:00,2023-02-17 08:40:32.157000+00:00,2023-02-17 10:16:27.508000+00:00,2023-02-17 10:27:21.369000+00:00
VN203,2023-02-17 08:30:52.901000+00:00,2023-02-17 08:40:31.987000+00:00,2023-02-17 10:16:27.408000+00:00,2023-02-17 10:27:21.269000+00:00
VN202,2023-02-17 08:30:52.681000+00:00,2023-02-17 08:40:31.817000+00:00,2023-02-17 10:16:27.348000+00:00,2023-02-17 10:27:21.159000+00:00
VN206,2023-02-17 08:30:51.331000+00:00,2023-02-17 08:40:30.477000+00:00,2023-02-17 10:16:25.978000+00:00,2023-02-17 10:27:19.699000+00:00
VN209,2023-02-17 08:30:51.951000+00:00,2023-02-17 08:40:31.047000+00:00,2023-02-17 10:16:26.488000+00:00,2023-02-17 10:27:20.279000+00:00
VN210,2023-02-17 08:30:52.191000+00:00,2023-02-17 08:40:31.267000+00:00,2023-02-17 10:16:26.728000+00:00,2023-02-17 10:27:20.579000+00:00
VN207,2023-02-17 08:30:53.181000+00:00,2023-02-17 08:40:32.367000+00:00,2023-02-17 10:16:27.818000+00:00,2023-02-17 10:27:21.699000+00:00
VN208,2023-02-17 08:30:53.001000+00:00,2023-02-17 08:40:32.167000+00:00,2023-02-17 10:16:27.558000+00:00,2023-02-17 10:27:21.449000+00:00
VN201,2023-02-17 08:30:52.461000+00:00,2023-02-17 08:40:31.547000+00:00,2023-02-17 10:16:26.998000+00:00,2023-02-17 10:27:20.889000+00:00
VN204,2023-02-17 08:30:51.021000+00:00,2023-02-17 08:40:30.167000+00:00,2023-02-17 10:16:25.568000+00:00,2023-02-17 10:27:19.389000+00:00
VA305,2023-02-17 08:30:51.981000+00:00,2023-02-17 08:40:31.177000+00:00,2023-02-17 10:16:26.638000+00:00,2023-02-17 10:27:20.409000+00:00
VA307,2023-02-17 08:30:51.881000+00:00,2023-02-17 08:40:31.057000+00:00,2023-02-17 10:16:26.558000+00:00,2023-02-17 10:27:20.359000+00:00
VA308,,,,
VA301,2023-02-17 08:30:52.311000+00:00,2023-02-17 08:40:31.427000+00:00,2023-02-17 10:16:26.888000+00:00,2023-02-17 10:27:20.699000+00:00
VA306,2023-02-17 08:30:52.391000+00:00,2023-02-17 08:40:31.607000+00:00,2023-02-17 10:16:27.098000+00:00,2023-02-17 10:27:20.919000+00:00
VA302,2023-02-17 08:30:50.851000+00:00,2023-02-17 08:40:30.067000+00:00,2023-02-17 10:16:25.468000+00:00,2023-02-17 10:27:19.299000+00:00
VA303,,,,
VA304,2023-02-17 08:30:52.451000+00:00,2023-02-17 08:40:31.637000+00:00,2023-02-17 10:16:27.098000+00:00,2023-02-17 10:27:20.929000+00:00
LS406,2023-02-17 08:30:53.001000+00:00,2023-02-17 08:40:32.137000+00:00,2023-02-17 10:16:27.548000+00:00,2023-02-17 10:27:21.429000+00:00
LS407,2023-02-17 08:30:51.891000+00:00,2023-02-17 08:40:31.047000+00:00,2023-02-17 10:16:26.478000+00:00,2023-02-17 10:27:20.349000+00:00
LS408,2023-02-17 08:30:52.611000+00:00,2023-02-17 08:40:31.747000+00:00,2023-02-17 10:16:27.168000+00:00,2023-02-17 10:27:21.029000+00:00
LS405,2023-02-17 08:30:52.401000+00:00,2023-02-17 08:40:31.597000+00:00,2023-02-17 10:16:26.978000+00:00,2023-02-17 10:27:20.889000+00:00
LS401,2023-02-17 08:30:52.591000+00:00,2023-02-17 08:40:31.727000+00:00,2023-02-17 10:16:27.188000+00:00,2023-02-17 10:27:20.999000+00:00
LS403,2023-02-17 08:30:52.221000+00:00,2023-02-17 08:40:31.277000+00:00,2023-02-17 10:16:26.728000+00:00,2023-02-17 10:27:20.629000+00:00
LS402,2023-02-17 08:30:52.401000+00:00,2023-02-17 08:40:31.667000+00:00,2023-02-17 10:16:27.048000+00:00,2023-02-17 10:27:20.909000+00:00
LS410,2023-02-17 08:30:47.101000+00:00,2023-02-17 08:40:26.217000+00:00,2023-02-17 10:16:21.588000+00:00,2023-02-17 10:27:15.469000+00:00
LS404,2023-02-17 08:30:52.621000+00:00,2023-02-17 08:40:31.767000+00:00,2023-02-17 10:16:27.228000+00:00,2023-02-17 10:27:21.049000+00:00
WW505,2023-02-17 08:30:50.911000+00:00,2023-02-17 08:40:30.037000+00:00,2023-02-17 10:16:25.438000+00:00,2023-02-17 10:27:19.279000+00:00
WW502,,,2023-02-17 10:16:26.588000+00:00,
WW503,2023-02-17 08:30:52.011000+00:00,2023-02-17 08:40:31.237000+00:00,,
WW506,2023-02-17 08:30:52.471000+00:00,2023-02-17 08:40:31.487000+00:00,2023-02-17 10:16:26.938000+00:00,2023-02-17 10:27:20.729000+00:00
WW501,,,2023-02-17 10:16:26.268000+00:00,2023-02-17 10:27:20.119000+00:00
WW504,,,2023-02-17 10:16:27.308000+00:00,
WW507,2023-02-17 08:30:53.481000+00:00,2023-02-17 08:40:32.597000+00:00,2023-02-17 10:16:27.928000+00:00,2023-02-17 10:27:21.839000+00:00
BR604,2023-02-17 08:30:52.111000+00:00,2023-02-17 08:40:31.287000+00:00,2023-02-17 10:16:26.688000+00:00,2023-02-17 10:27:20.479000+00:00
BR603,,,,
BR602,2023-02-17 08:30:51.961000+00:00,2023-02-17 08:40:31.117000+00:00,2023-02-17 10:16:26.518000+00:00,2023-02-17 10:27:20.339000+00:00
BR606,2023-02-17 08:30:53.601000+00:00,2023-02-17 08:40:32.797000+00:00,2023-02-17 10:16:28.188000+00:00,2023-02-17 10:27:22.029000+00:00
BR607,2023-02-17 08:30:52.751000+00:00,2023-02-17 08:40:31.957000+00:00,2023-02-17 10:16:27.408000+00:00,2023-02-17 10:27:21.289000+00:00
BR605,2023-02-17 08:30:51.901000+00:00,2023-02-17 08:40:31.067000+00:00,2023-02-17 10:16:26.498000+00:00,2023-02-17 10:27:20.349000+00:00
BR601,2023-02-17 08:30:52.091000+00:00,2023-02-17 08:40:31.197000+00:00,2023-02-17 10:16:26.658000+00:00,2023-02-17 10:27:20.509000+00:00
PC704,2023-02-17 08:30:52.221000+00:00,2023-02-17 08:40:31.337000+00:00,2023-02-17 10:16:26.788000+00:00,2023-02-17 10:27:20.669000+00:00
PC705,2023-02-17 08:30:51.431000+00:00,2023-02-17 08:40:30.537000+00:00,2023-02-17 10:16:25.898000+00:00,2023-02-17 10:27:19.769000+00:00
PC703,2023-02-17 08:30:52.951000+00:00,2023-02-17 08:40:32.117000+00:00,2023-02-17 10:16:27.558000+00:00,2023-02-17 10:27:21.399000+00:00
PC701,2023-02-17 08:30:53.021000+00:00,2023-02-17 08:40:32.117000+00:00,2023-02-17 10:16:27.618000+00:00,2023-02-17 10:27:21.399000+00:00
PC702,2023-02-17 08:30:52.151000+00:00,2023-02-17 08:40:31.297000+00:00,2023-02-17 10:16:26.668000+00:00,2023-02-17 10:27:20.589000+00:00
PC707,2023-02-17 08:30:52.561000+00:00,2023-02-17 08:40:31.657000+00:00,2023-02-17 10:16:27.128000+00:00,2023-02-17 10:27:20.899000+00:00
