,C5_Synch,C5_Reic
LS401,2023-02-18 15:10:34.463000+00:00,2023-02-18 15:22:09.485000+00:00
LS405,2023-02-18 15:10:34.833000+00:00,2023-02-18 15:22:09.935000+00:00
LS406,2023-02-18 15:10:34.733000+00:00,2023-02-18 15:22:09.695000+00:00
LS407,2023-02-18 15:10:33.773000+00:00,2023-02-18 15:22:08.825000+00:00
LS408,2023-02-18 15:10:33.543000+00:00,2023-02-18 15:22:08.585000+00:00
VN101,2023-02-18 15:10:34.733000+00:00,2023-02-18 15:22:09.765000+00:00
VN102,2023-02-18 15:10:34.843000+00:00,2023-02-18 15:22:09.845000+00:00
VN103,2023-02-18 15:10:34.703000+00:00,2023-02-18 15:22:09.745000+00:00
VN104,2023-02-18 15:10:34.773000+00:00,2023-02-18 15:22:09.835000+00:00
VN105,2023-02-18 15:10:34.793000+00:00,2023-02-18 15:22:09.825000+00:00
VN106,2023-02-18 15:10:34.693000+00:00,2023-02-18 15:22:09.695000+00:00
VN107,2023-02-18 15:10:34.723000+00:00,2023-02-18 15:22:09.745000+00:00
VN108,2023-02-18 15:10:34.723000+00:00,2023-02-18 15:22:09.755000+00:00
