,Related,Event_Type,Event,RD,C1,C2,C3,C4,C5
0,Init,Stage,Pre-Audio,,,2023-02-16 10:09:21.319000+00:00,,,2023-02-18 14:54:07.681000+00:00
1,Init,Orch,Warmup,2023-02-15 11:00:36.897000+00:00,2023-02-16 08:27:30.042000+00:00,2023-02-16 10:10:21.394000+00:00,2023-02-17 08:29:58.895000+00:00,2023-02-17 10:10:41.889000+00:00,2023-02-18 15:04:03.121000+00:00
2,Init,Orch,Tuning,2023-02-15 11:04:38.152000+00:00,2023-02-16 08:32:17.013000+00:00,2023-02-16 10:15:33.575000+00:00,2023-02-17 08:30:03.068000+00:00,2023-02-17 10:15:37.905000+00:00,2023-02-18 15:06:43.947000+00:00
3,Init,Orch,Synch Taps,2023-02-15 11:05:36.897000+00:00,2023-02-16 08:33:18.524000+00:00,2023-02-16 10:16:22.697000+00:00,2023-02-17 08:30:51.841000+00:00,2023-02-17 10:16:26.888000+00:00,2023-02-18 15:10:29.583000+00:00
4,Init,Applause,Applause for Conductor,2023-02-15 11:05:56.191000+00:00,2023-02-16 08:33:46.816000+00:00,2023-02-16 10:18:24.711000+00:00,2023-02-17 08:32:07.915000+00:00,2023-02-17 10:16:48.817000+00:00,2023-02-18 15:09:59.446000+00:00
5,Saev,Music,Saevarud,2023-02-15 11:06:20.804000+00:00,2023-02-16 08:34:03.424000+00:00,2023-02-16 11:11:01.919000+00:00,2023-02-17 09:25:39.887000+00:00,2023-02-17 10:16:57.035000+00:00,2023-02-18 15:10:44.919000+00:00
6,Saev,Applause,Applause for Saevarud,2023-02-15 11:10:17.359000+00:00,2023-02-16 08:37:57.680000+00:00,2023-02-16 11:14:54.162000+00:00,2023-02-17 09:29:30.090000+00:00,2023-02-17 10:20:51.942000+00:00,2023-02-18 15:14:35.749000+00:00
7,Reic,Speech,MC pre Reich,2023-02-15 11:10:22.420000+00:00,2023-02-16 08:38:12.808000+00:00,2023-02-16 10:20:51.379000+00:00,2023-02-17 08:34:30.755000+00:00,2023-02-17 10:21:01.801000+00:00,2023-02-18 15:14:47.409000+00:00
8,Reic,Music,Reich,2023-02-15 11:16:50.719000+00:00,2023-02-16 08:45:22.446000+00:00,2023-02-16 10:27:10.927000+00:00,2023-02-17 08:40:31.007000+00:00,2023-02-17 10:27:20.769000+00:00,2023-02-18 15:22:04.555000+00:00
9,Reic,Applause,Applause for Reich,2023-02-15 11:18:44.479000+00:00,2023-02-16 08:47:08.598000+00:00,2023-02-16 10:28:59.707000+00:00,2023-02-17 08:42:22.649000+00:00,2023-02-17 10:29:10.054000+00:00,2023-02-18 15:23:52.550000+00:00
10,Arba,Speech,MC pre Arban,2023-02-15 11:18:49.183000+00:00,2023-02-16 08:47:21.174000+00:00,2023-02-16 10:29:15.759000+00:00,2023-02-17 08:42:32.501000+00:00,2023-02-17 10:29:27.697000+00:00,2023-02-18 15:24:03.283000+00:00
11,Arba,Applause,Applause for Florian,2023-02-15 11:19:32.367000+00:00,2023-02-16 08:49:22.026000+00:00,2023-02-16 10:31:30.483000+00:00,2023-02-17 08:46:21.713000+00:00,2023-02-17 10:33:10.897000+00:00,2023-02-18 15:27:06.598000+00:00
12,Abra,Music,Arban,2023-02-15 11:19:57.492000+00:00,2023-02-16 08:49:40.638000+00:00,2023-02-16 10:31:46.883000+00:00,2023-02-17 08:46:39.855000+00:00,2023-02-17 10:33:52.201000+00:00,2023-02-18 15:27:22.069000+00:00
13,Abra,Applause,Applause for Arban,2023-02-15 11:28:39.679000+00:00,2023-02-16 08:58:24.188000+00:00,2023-02-16 10:40:36.651000+00:00,2023-02-17 08:55:04.367000+00:00,2023-02-17 10:42:05.035000+00:00,2023-02-18 15:35:50.569000+00:00
14,Grie,Speech,MC pre Grieg,2023-02-15 11:28:58.447000+00:00,2023-02-16 08:58:39.604000+00:00,2023-02-16 10:40:52.311000+00:00,2023-02-17 08:55:17.103000+00:00,2023-02-17 10:42:15.441000+00:00,2023-02-18 15:36:03.481000+00:00
15,Grie,Music,Grieg,2023-02-15 11:29:28.287000+00:00,2023-02-16 09:00:00.598000+00:00,2023-02-16 10:41:29.819000+00:00,2023-02-17 08:56:02.783000+00:00,2023-02-17 10:42:59.857000+00:00,2023-02-18 15:36:51.241000+00:00
16,Grie,Applause,Applause for Grieg,2023-02-15 11:34:48.919000+00:00,2023-02-16 09:05:23.098000+00:00,2023-02-16 10:46:51.683000+00:00,2023-02-17 09:01:29.165000+00:00,2023-02-17 10:48:18.737000+00:00,2023-02-18 15:42:14.191000+00:00
17,Tcha,Speech,MC pre Tsjajkovskij,2023-02-15 11:34:54.815000+00:00,2023-02-16 09:05:40.356000+00:00,2023-02-16 10:47:02.751000+00:00,2023-02-17 09:01:42.767000+00:00,2023-02-17 10:48:30.086000+00:00,2023-02-18 15:42:27.403000+00:00
18,Tcha,Music,Tsjajkovskij,2023-02-15 11:36:35.375000+00:00,2023-02-16 09:09:56.942000+00:00,2023-02-16 10:50:48.703000+00:00,2023-02-17 09:05:17.729000+00:00,2023-02-17 10:51:25.595000+00:00,2023-02-18 15:45:31.969000+00:00
19,Tcha,Applause,Applause for Tsjajkovskij,2023-02-15 11:39:30.567000+00:00,2023-02-16 09:12:51.604000+00:00,2023-02-16 10:53:41.275000+00:00,2023-02-17 09:08:06.563000+00:00,2023-02-17 10:54:18.833000+00:00,2023-02-18 15:48:23.563000+00:00
20,Chri,Speech,MC pre Christophersen,2023-02-15 11:39:38.879000+00:00,2023-02-16 09:13:03.340000+00:00,2023-02-16 10:53:48.827000+00:00,2023-02-17 09:08:18.159000+00:00,2023-02-17 10:54:28.230000+00:00,2023-02-18 15:48:34.267000+00:00
21,Chri,Music,Christophersen,2023-02-15 11:40:49.999000+00:00,2023-02-16 09:14:16.104000+00:00,2023-02-16 10:55:20.019000+00:00,2023-02-17 09:09:48.215000+00:00,2023-02-17 10:55:59.691000+00:00,2023-02-18 15:49:52.159000+00:00
22,Chri,Applause,Applause for Christophersen,2023-02-15 11:47:09.879000+00:00,2023-02-16 09:20:29.340000+00:00,2023-02-16 11:01:35.235000+00:00,2023-02-17 09:16:00.023000+00:00,2023-02-17 11:02:15.958000+00:00,2023-02-18 15:56:09.121000+00:00
23,Viva,Speech,MC pre School,2023-02-15 11:47:19.311000+00:00,2023-02-16 09:20:40.452000+00:00,2023-02-16 11:01:45.451000+00:00,2023-02-17 09:16:08.105000+00:00,2023-02-17 11:02:25.174000+00:00,2023-02-18 15:56:20.869000+00:00
24,Viva,Applause,Applause for school class,2023-02-15 11:49:25.167000+00:00,,2023-02-16 11:04:26.415000+00:00,2023-02-17 09:19:04.815000+00:00,2023-02-17 11:05:20.731000+00:00,2023-02-18 15:59:40.327000+00:00
25,Viva,Speech,MC pre Vivaldi,,,2023-02-16 11:04:43.095000+00:00,2023-02-17 09:19:28.283000+00:00,2023-02-17 11:05:32.203000+00:00,2023-02-18 15:59:59.737000+00:00
26,Viva,Music,Vivaldi,2023-02-15 11:50:18.207000+00:00,2023-02-16 09:25:45.834000+00:00,2023-02-16 11:05:23.803000+00:00,2023-02-17 09:20:02.321000+00:00,2023-02-17 11:06:11.579000+00:00,2023-02-18 16:00:38.467000+00:00
27,Viva,Applause,Applause for Vivaldi,2023-02-15 11:54:15.599000+00:00,2023-02-16 09:29:43.384000+00:00,2023-02-16 11:09:21.071000+00:00,2023-02-17 09:23:59.215000+00:00,2023-02-17 11:10:08.049000+00:00,2023-02-18 16:04:32.401000+00:00
28,Viva,Speech,MC post Vivaldi,2023-02-15 11:54:25.215000+00:00,2023-02-16 09:30:01.676000+00:00,2023-02-16 11:09:32.715000+00:00,2023-02-17 09:24:12.689000+00:00,2023-02-17 11:10:24.139000+00:00,2023-02-18 16:04:47.857000+00:00
29,Viva,Applause,Applause for school class,2023-02-15 11:54:42.719000+00:00,,2023-02-16 11:10:58.642000+00:00,,2023-02-17 11:11:02.993000+00:00,2023-02-18 16:05:02.707000+00:00
30,Stra,Speech,MC pre Strauss,2023-02-15 11:54:50.943000+00:00,,2023-02-16 10:17:00.135000+00:00,2023-02-17 08:32:07.915000+00:00,2023-02-17 11:11:11.377000+00:00,2023-02-18 16:06:17.899000+00:00
31,Stra,Music,Strauss,2023-02-15 11:58:45.503000+00:00,2023-02-16 09:33:47.262000+00:00,2023-02-16 10:18:41.175000+00:00,2023-02-17 08:32:16.348000+00:00,2023-02-17 11:12:40.326000+00:00,2023-02-18 16:07:51.547000+00:00
32,Stra,Applause,Applause for Strauss,2023-02-15 12:01:11.231000+00:00,2023-02-16 09:35:48.032000+00:00,2023-02-16 10:20:41.699000+00:00,2023-02-17 08:34:21.008000+00:00,2023-02-17 11:14:40.571000+00:00,2023-02-18 16:09:53.587000+00:00
33,Last,Stage,End,2023-02-15 12:02:12.591000+00:00,2023-02-16 09:35:54.960000+00:00,2023-02-16 11:15:18.567000+00:00,2023-02-17 09:29:56.399000+00:00,2023-02-17 11:14:59.883000+00:00,2023-02-18 16:10:32.401000+00:00
